ID,SEX,AGEGRP,IMPRACE,Asian,Black,Latino,Native American,Other,White,RESPOP
1M1,M,1,1,0,0,0,0,0,1,19940
1M2,M,1,2,0,1,0,0,0,0,7340
1M3,M,1,3,0,0,0,1,0,0,366
1M4,M,1,4,1,0,0,0,0,0,3087
1M5,M,1,5,0,0,0,0,1,0,18
1M6,M,1,6,0,0,0,0,0,0,1301
1M7,M,1,7,0,0,0,1,0,1,191
1M8,M,1,8,1,0,0,0,0,1,814
1M9,M,1,9,0,0,0,0,1,1,11
1M10,M,1,10,0,1,0,1,0,0,121
1M11,M,1,11,1,1,0,0,0,0,69
1M12,M,1,12,0,1,0,0,1,0,11
1M13,M,1,13,1,0,0,1,0,0,14
1M14,M,1,14,0,0,0,1,1,0,1
1M15,M,1,15,1,0,0,0,1,0,9
1M16,M,1,16,0,1,0,1,0,1,172
1M17,M,1,17,1,1,0,0,0,1,56
1M18,M,1,18,0,1,0,0,1,1,3
1M19,M,1,19,0,0,0,1,0,1,14
1M20,M,1,20,0,0,0,1,1,1,1
1M21,M,1,21,1,0,0,0,1,1,11
1M23,M,1,23,0,1,0,1,1,0,1
1M24,M,1,24,1,1,0,0,1,0,3
1M26,M,1,26,1,1,0,1,0,1,11
1M27,M,1,27,0,1,0,1,1,1,2
1M29,M,1,29,1,0,0,1,1,1,1
1M31,M,1,31,1,1,0,1,1,1,1
2M1,M,2,1,0,0,0,0,0,1,20075
2M2,M,2,2,0,1,0,0,0,0,6619
2M3,M,2,3,0,0,0,1,0,0,318
2M4,M,2,4,1,0,0,0,0,0,2833
2M5,M,2,5,0,0,0,0,1,0,17
2M6,M,2,6,0,0,0,0,0,0,1118
2M7,M,2,7,0,0,0,1,0,1,181
2M8,M,2,8,1,0,0,0,0,1,640
2M9,M,2,9,0,0,0,0,1,1,20
2M10,M,2,10,0,1,0,1,0,0,86
2M11,M,2,11,1,1,0,0,0,0,72
2M12,M,2,12,0,1,0,0,1,0,7
2M13,M,2,13,1,0,0,1,0,0,6
2M14,M,2,14,0,0,0,1,1,0,1
2M15,M,2,15,1,0,0,0,1,0,4
2M16,M,2,16,0,1,0,1,0,1,152
2M17,M,2,17,1,1,0,0,0,1,41
2M18,M,2,18,0,1,0,0,1,1,4
2M19,M,2,19,0,0,0,1,0,1,2
2M20,M,2,20,0,0,0,1,1,1,1
2M21,M,2,21,1,0,0,0,1,1,6
2M22,M,2,22,1,1,0,1,0,0,3
2M23,M,2,23,0,1,0,1,1,0,3
2M24,M,2,24,1,1,0,0,1,0,1
2M26,M,2,26,1,1,0,1,0,1,12
2M27,M,2,27,0,1,0,1,1,1,2
2M28,M,2,28,1,1,0,0,1,1,1
